sequence,module,level,type,identifier,name,datatype,multiplicity,domain_name,definition,label_local,definition_local,element,id,semantic_path,associated_module,class_term
188,cor,4,A,,Posting Status,Token,0..1,,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
other:other status - should be described in postingStatusDescription",転記状態,"・据置：入力されたが、まだ転記できない。_x000D_
・転記済：転記済み。_x000D_
・提案済：検証が必要な項目。_x000D_
・シミュレーション：仮定のためにシミュレートされた項目。_x000D_
・税：税項目。_x000D_
・未転記：入力されたが、まだ検証も転記もされていない。_x000D_
・取消済：入力されたが、取り消された。_x000D_
・その他：その他の状態。postingStatusDescriptionで説明されるべき。_x000D_
[設定値のリスト]_x000D_
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)",postingStatus,CO21-11,$.Accounting Entries.Entry_ Header.Entry_ Detail.Posting Status,cor,Entry_ Detail
189,cor,4,A,,Posting Status Description,String,0..1,,Free format description of the posting status,転記状態説明,転記状態の説明。,postingStatusDescription,CO21-12,$.Accounting Entries.Entry_ Header.Entry_ Detail.Posting Status Description,cor,Entry_ Detail
190,cor,4,A,,Description,String,0..1,,Description of this line of detail only,説明,この明細行のみに対する説明。,entryDetailDescription,CO21-13,$.Accounting Entries.Entry_ Header.Entry_ Detail.Description,cor,Entry_ Detail
191,cor,4,A,,Acknowledgement Date,Date Time,0..1,,Date of acknowledgement of goods/services shipped/received.,承認日付,出荷/受領済みの物品/サービスを承認した日付。,acknowledgementDate,CO21-14,$.Accounting Entries.Entry_ Header.Entry_ Detail.Acknowledgement Date,cor,Entry_ Detail
192,cor,4,A,,Confirmation Date,Date Time,0..1,,Date of confirmation of shipment/receipt.,確認日付,出荷/受領を確認した日付。,confirmationDate,CO21-15,$.Accounting Entries.Entry_ Header.Entry_ Detail.Confirmation Date,cor,Entry_ Detail
193,cor,4,A,,Measurable Class ID,Token,0..1,,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",測定可能分類コード,在庫、固定資産、その他の測定可能な分類を識別するための列挙コード。列挙例：原材料、仕掛品、製品、組立品、備品、土地、建物、機械、家具、車両、その他。,measurableClassId,CO21-16,$.Accounting Entries.Entry_ Header.Entry_ Detail.Measurable Class ID,cor,Entry_ Detail
194,cor,4,A,,Measurable Class Description,String,0..1,,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,測定可能分類の説明,「その他」の列挙値を補足・特定するための自由記述形式の説明。,measurableClassDescription,CO21-17,$.Accounting Entries.Entry_ Header.Entry_ Detail.Measurable Class Description,cor,Entry_ Detail
195,cor,4,A,,Geospatial Coordinate,String,0..1,,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",地理座標,"本項目の関連位置を入力。形式は以下のいずれか：
・度分秒 (DMS): 41°24'12.2""N 2°10'26.5""E
・度と小数分 (DMM): 41 24.2028, 2 10.4418
・10進度 (DD): 41.40338, 2.17403",geospatialCoordinate,CO21-18,$.Accounting Entries.Entry_ Header.Entry_ Detail.Geospatial Coordinate,cor,Entry_ Detail
196,taf,4,C,,Originating Document,,0..*,,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,entryDetailOriginatingDocument,CO21-19,$.Accounting Entries.Entry_ Header.Entry_ Detail.Originating Document,taf,Originating Document
197,taf,5,A,,Document Type,Token,0..1,,"Document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",発生元文書種別,発生元文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other),entryDetailOriginatingDocumentType,TA01-01,$.Accounting Entries.Entry_ Header.Entry_ Detail.Originating Document.Document Type,taf,Originating Document
198,taf,5,A,PK,Document Number,String,0..1,,Document number,発生元文書番号,発生元文書の番号。,entryDetailOriginatingDocumentNumber,TA01-02,$.Accounting Entries.Entry_ Header.Entry_ Detail.Originating Document.Document Number,taf,Originating Document
199,taf,5,A,,Document Date,Date,0..1,,Document date,発生元文書日付,発生元文書の日付。,entryDetailOriginatingDocumentDate,TA01-03,$.Accounting Entries.Entry_ Header.Entry_ Detail.Originating Document.Document Date,taf,Originating Document
200,taf,5,A,,Document Identifier Type,Token,0..1,,"Document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",発生元文書対象CVE種別,発生元文書の対象となるCVEの種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者),entryDetailOriginatingDocumentIdentifierType,TA01-04,$.Accounting Entries.Entry_ Header.Entry_ Detail.Originating Document.Document Identifier Type,taf,Originating Document
201,taf,5,A,,Document Identifier Code,String,0..1,,Document identifier code,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。,entryDetailOriginatingDocumentIdentifierCode,TA01-05,$.Accounting Entries.Entry_ Header.Entry_ Detail.Originating Document.Document Identifier Code,taf,Originating Document
202,taf,5,A,,Document Identifier Tax Code,Token,0..1,,Originating document identifier tax code,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。,entryDetailOriginatingDocumentIdentifierTaxCode,TA01-06,$.Accounting Entries.Entry_ Header.Entry_ Detail.Originating Document.Document Identifier Tax Code,taf,Originating Document
203,cor,4,A,,Detail_ Description,String,0..1,,Description of this line of detail only,説明,この明細行のみに対する説明。,detailDescription,CO21-20,$.Accounting Entries.Entry_ Header.Entry_ Detail.Detail_ Description,cor,Entry_ Detail
204,cor,4,A,,Monetary Amount,Monetary,0..1,,"This field (amount) represents the primary monetary amount related to the  subject of the entryDetail line. There is one primary monetary amount per entryDetail class. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number (either positive or negative itself) and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present.",金額,entryDetailの代表的な金額を示す。entryDetailごとにひとつの値を持つ。たとえば、仕訳帳の行、残高、請求書の行の金額。明細が会計業務用でなく、measurableQuantityなどの他の要素が設定されている場合は不要。符号付数値であり、金額を解釈するために用意されたsignOfAmountおよびdebitCreditCodeとあわせて使用される。通貨単位はamountCurrencyで決定される。amountCurrencyが指定されない場合は、既定または自国の通貨単位となる。,monetaryAmount,CO21-21,$.Accounting Entries.Entry_ Header.Entry_ Detail.Monetary Amount,cor,Entry_ Detail
205,cor,4,A,,Currency,QName,0..1,,"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding.",通貨,XBRLインスタンス内に指定する方法のかわりに、金額の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,currency,CO21-22,$.Accounting Entries.Entry_ Header.Entry_ Detail.Currency,cor,Entry_ Detail
206,cor,4,A,,Sign Indication for Amount,Token,0..1,,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,金額符号,"金額の符号。貸借識別子と関連して使用される場合にだけ、4つの可能なフィールドを提供する。記入エラー後の総貸借が膨張しないように、おもに仕訳の訂正に使用される。 D+は借方を増加させる。D-は借方を減少させる。C+は貸方を減少させる。C-は貸方を増加させる。_x000D_
[設定値のリスト]_x000D_
(+)、(-)、(plus：プラス)、(minus：マイナス)",signIndicationForAmount,CO21-23,$.Accounting Entries.Entry_ Header.Entry_ Detail.Sign Indication for Amount,cor,Entry_ Detail
207,cor,4,A,,Debit/Credit Indicator,Token,0..1,,"Optional identifier of whether the amount is a (D)ebit, a (C)redit or Undefined",貸借区分コード,"金額が借方か貸方か不定かを示す識別子。_x000D_
[設定値のリスト]_x000D_
(D)、(C)、(debit：借方)、(credit：貸方)、(undefined：不定)",debitCreditIndicator,CO21-24,$.Accounting Entries.Entry_ Header.Entry_ Detail.Debit/Credit Indicator,cor,Entry_ Detail
208,cor,4,A,,Allocation Code,String,0..1,,A code that is tied to the Enterprise's allocation system.,配分コード,配賦システムに結びつけるコード。,allocationCode,CO21-25,$.Accounting Entries.Entry_ Header.Entry_ Detail.Allocation Code,cor,Entry_ Detail
209,cor,4,A,,Invoice Type,Token,0..1,,"Invoice Type  (self-billed, ePoS enumerated values)",請求書種別,"請求書の種別。(self-billed、ePoS)_x000D_
[設定値のリスト]_x000D_
(ePos：POSシステムからの発行)、(self-billed：手動発行)",invoiceType,CO21-26,$.Accounting Entries.Entry_ Header.Entry_ Detail.Invoice Type,cor,Entry_ Detail
210,cor,4,A,,Chargeable or Reimbursable,String,0..1,,"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor's account.",請求支払可能フラグ,この仕訳は顧客に請求、支払可能か。いくつかのシステムでは転記/検証対象の科目が顧客や仕入先の科目に転記されるべきかどうかを示すために使用される。,chargeableOrReimbursable,CO21-27,$.Accounting Entries.Entry_ Header.Entry_ Detail.Chargeable or Reimbursable,cor,Entry_ Detail
211,cor,4,A,,Payment Method,String,0..1,,Method used or to be used to make the payment,支払方法,支払いのために使用された、または使用される方法。,paymentMethod,CO21-28,$.Accounting Entries.Entry_ Header.Entry_ Detail.Payment Method,cor,Entry_ Detail
